AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 16, Z = 3, qw = 2833, qx = 453, qy = -283, qz = -16128, gx = 0, gy = 16, gz = -11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -14, Y = -47, Z = 45, qw = 11675, qx = -233, qy = -362, qz = -11486, gx = 4, gy = 67, gz = -215

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -70, Y = -7, Z = -63, qw = 5042, qx = -1891, qy = -463, qz = -15467, gx = -17, gy = 55, gz = -313

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -72, Y = 3, Z = -62, qw = 5028, qx = -1884, qy = -464, qz = -15472, gx = -25, gy = 63, gz = -346

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -80, Y = 26, Z = -59, qw = 4996, qx = -1877, qy = -462, qz = -15484, gx = -43, gy = 80, gz = -373

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -84, Y = 38, Z = -53, qw = 4963, qx = -1869, qy = -458, qz = -15495, gx = -62, gy = 94, gz = -384

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -85, Y = 47, Z = -44, qw = 4931, qx = -1861, qy = -452, qz = -15507, gx = -72, gy = 108, gz = -380

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -84, Y = 52, Z = -40, qw = 4900, qx = -1851, qy = -447, qz = -15518, gx = -67, gy = 117, gz = -361

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = -24, Z = 24, qw = 11658, qx = -229, qy = -362, qz = -11504, gx = 20, gy = 21, gz = -282

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -76, Y = 64, Z = -35, qw = 4883, qx = -1840, qy = -444, qz = -15525, gx = -54, gy = 130, gz = -339

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -75, Y = 65, Z = -41, qw = 4856, qx = -1828, qy = -439, qz = -15534, gx = -43, gy = 138, gz = -307

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -70, Y = 65, Z = -51, qw = 4833, qx = -1816, qy = -435, qz = -15543, gx = -36, gy = 137, gz = -272

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -12, Z = 17, qw = 11637, qx = -228, qy = -362, qz = -11526, gx = 11, gy = 8, gz = -336

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 1, Z = 1, qw = 11608, qx = -228, qy = -362, qz = -11555, gx = -6, gy = 5, gz = -371

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 16, Y = 26, Z = -13, qw = 11583, qx = -228, qy = -362, qz = -11580, gx = -15, gy = 6, gz = -388

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 18, Y = 37, Z = -15, qw = 11559, qx = -228, qy = -361, qz = -11604, gx = -17, gy = 8, gz = -384

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -70, Y = 61, Z = -59, qw = 4812, qx = -1805, qy = -429, qz = -15551, gx = -50, gy = 134, gz = -249

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -68, Y = 49, Z = -50, qw = 4792, qx = -1794, qy = -421, qz = -15559, gx = -80, gy = 142, gz = -237

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -66, Y = 44, Z = -34, qw = 4758, qx = -1770, qy = -413, qz = -15572, gx = -122, gy = 143, gz = -216

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 23, Y = 43, Z = -15, qw = 11535, qx = -227, qy = -360, qz = -11627, gx = -13, gy = 10, gz = -371

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 24, Y = 43, Z = -18, qw = 11513, qx = -226, qy = -360, qz = -11649, gx = 0, gy = 0, gz = -352

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 27, Y = 46, Z = -17, qw = 11491, qx = -226, qy = -362, qz = -11670, gx = 9, gy = -9, gz = -337

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 22, Y = 42, Z = -20, qw = 11471, qx = -226, qy = -363, qz = -11691, gx = 6, gy = -21, gz = -321

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 23, Y = 40, Z = -22, qw = 11451, qx = -227, qy = -365, qz = -11710, gx = 2, gy = -27, gz = -315

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 18, Y = 37, Z = -21, qw = 11431, qx = -227, qy = -374, qz = -11729, gx = -2, gy = -37, gz = -307

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 21, Z = -15, qw = 11411, qx = -228, qy = -380, qz = -11748, gx = -7, gy = -41, gz = -306

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -59, Y = 32, Z = -10, qw = 4739, qx = -1751, qy = -402, qz = -15580, gx = -163, gy = 136, gz = -208

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -48, Y = 22, Z = 7, qw = 4721, qx = -1744, qy = -385, qz = -15587, gx = -181, gy = 130, gz = -195

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -19, Y = 8, Z = 36, qw = 4703, qx = -1736, qy = -370, qz = -15594, gx = -159, gy = 128, gz = -200

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 12, Z = -15, qw = 11391, qx = -229, qy = -384, qz = -11768, gx = -5, gy = -35, gz = -306

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 11, Z = -9, qw = 11370, qx = -230, qy = -388, qz = -11788, gx = 8, gy = -42, gz = -318

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 24, Z = 0, qw = 11349, qx = -232, qy = -395, qz = -11808, gx = 19, gy = -66, gz = -327

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -10, Y = 10, Z = 41, qw = 4682, qx = -1727, qy = -359, qz = -15601, gx = -112, gy = 128, gz = -228

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 6, Z = 42, qw = 4660, qx = -1717, qy = -352, qz = -15609, gx = -72, gy = 126, gz = -264

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 12, Z = 32, qw = 4635, qx = -1707, qy = -347, qz = -15618, gx = -51, gy = 115, gz = -297

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 13, Y = 27, Z = -10, qw = 11306, qx = -239, qy = -404, qz = -11849, gx = -45, gy = -53, gz = -336

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = 26, Z = -19, qw = 11284, qx = -246, qy = -404, qz = -11869, gx = -82, gy = -45, gz = -329

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = 17, Z = 21, qw = 4606, qx = -1700, qy = -343, qz = -15627, gx = -54, gy = 93, gz = -330

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -17, Y = 24, Z = 14, qw = 4575, qx = -1694, qy = -338, qz = -15637, gx = -79, gy = 73, gz = -358

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -23, Y = 23, Z = 17, qw = 4542, qx = -1690, qy = -331, qz = -15647, gx = -115, gy = 48, gz = -370

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 18, Z = -31, qw = 11263, qx = -252, qy = -402, qz = -11889, gx = -101, gy = -30, gz = -318

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 9, Z = -32, qw = 11243, qx = -258, qy = -399, qz = -11908, gx = -88, gy = -29, gz = -307

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = 4, Z = -29, qw = 11223, qx = -263, qy = -398, qz = -11927, gx = -56, gy = -33, gz = -308

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = 15, Z = 45, qw = 4499, qx = -1687, qy = -322, qz = -15660, gx = -133, gy = 37, gz = -368

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -10, Y = 5, Z = 55, qw = 4466, qx = -1685, qy = -314, qz = -15670, gx = -121, gy = 40, gz = -375

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = 0, Z = 61, qw = 4431, qx = -1682, qy = -310, qz = -15680, gx = -82, gy = 37, gz = -403

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = 0, Z = -17, qw = 11202, qx = -266, qy = -401, qz = -11946, gx = -14, gy = -46, gz = -316

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 9, Z = 1, qw = 11180, qx = -267, qy = -406, qz = -11967, gx = 20, gy = -60, gz = -335

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = 16, Z = 10, qw = 11157, qx = -269, qy = -412, qz = -11988, gx = 20, gy = -62, gz = -351

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -5, Y = 1, Z = 60, qw = 4394, qx = -1679, qy = -309, qz = -15691, gx = -40, gy = 30, gz = -434

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -13, Y = 14, Z = 32, qw = 4353, qx = -1677, qy = -312, qz = -15703, gx = -12, gy = 18, gz = -468

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -17, Y = 22, Z = 21, qw = 4310, qx = -1676, qy = -315, qz = -15715, gx = -16, gy = -4, gz = -487

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 15, Z = 11, qw = 11133, qx = -273, qy = -413, qz = -12010, gx = -27, gy = -46, gz = -361

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = 6, Z = -4, qw = 11109, qx = -277, qy = -411, qz = -12033, gx = -70, gy = -21, gz = -372

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = 4, Z = -13, qw = 11083, qx = -283, qy = -406, qz = -12056, gx = -90, gy = -10, gz = -384

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -24, Y = 27, Z = 10, qw = 4267, qx = -1678, qy = -316, qz = -15726, gx = -43, gy = -25, gz = -498

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -28, Y = 23, Z = 4, qw = 4224, qx = -1680, qy = -316, qz = -15738, gx = -62, gy = -25, gz = -496

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -23, Y = 25, Z = 3, qw = 4181, qx = -1682, qy = -314, qz = -15749, gx = -71, gy = -22, gz = -496

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -21, Y = 27, Z = 5, qw = 4137, qx = -1684, qy = -312, qz = -15760, gx = -79, gy = -13, gz = -503

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -20, Y = 22, Z = 6, qw = 4094, qx = -1684, qy = -311, qz = -15771, gx = -74, gy = -3, gz = -513

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -24, Y = 17, Z = 8, qw = 4049, qx = -1684, qy = -311, qz = -15783, gx = -56, gy = 9, gz = -522

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = 3, Z = -20, qw = 11070, qx = -287, qy = -402, qz = -12068, gx = -86, gy = -16, gz = -391

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -22, Y = 3, Z = -27, qw = 11043, qx = -290, qy = -399, qz = -12093, gx = -66, gy = -14, gz = -402

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -29, Y = 3, Z = -46, qw = 11016, qx = -292, qy = -396, qz = -12118, gx = -49, gy = 0, gz = -418

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -40, Y = 10, Z = -50, qw = 10987, qx = -293, qy = -395, qz = -12144, gx = -28, gy = 6, gz = -432

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -55, Y = 14, Z = -54, qw = 10959, qx = -291, qy = -393, qz = -12170, gx = -14, gy = 33, gz = -428

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -62, Y = 14, Z = -54, qw = 10933, qx = -284, qy = -387, qz = -12194, gx = -17, gy = 91, gz = -414

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -33, Y = 14, Z = 2, qw = 4002, qx = -1676, qy = -312, qz = -15796, gx = -32, gy = 52, gz = -544

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -40, Y = 19, Z = 9, qw = 3952, qx = -1663, qy = -314, qz = -15810, gx = -17, gy = 106, gz = -582

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = 24, Z = 21, qw = 3898, qx = -1647, qy = -315, qz = -15825, gx = -30, gy = 139, gz = -617

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -89, Y = 9, Z = -22, qw = 10908, qx = -273, qy = -375, qz = -12217, gx = -25, gy = 180, gz = -381

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -89, Y = 7, Z = 6, qw = 10884, qx = -257, qy = -362, qz = -12238, gx = 8, gy = 227, gz = -353

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -91, Y = 0, Z = 46, qw = 10864, qx = -236, qy = -353, qz = -12257, gx = 75, gy = 231, gz = -320

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -56, Y = 43, Z = 58, qw = 3828, qx = -1634, qy = -310, qz = -15844, gx = -61, gy = 140, gz = -626

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -56, Y = 51, Z = 68, qw = 3774, qx = -1625, qy = -306, qz = -15857, gx = -87, gy = 111, gz = -612

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -60, Y = 61, Z = 67, qw = 3723, qx = -1619, qy = -303, qz = -15870, gx = -80, gy = 74, gz = -585

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -87, Y = -35, Z = 122, qw = 10844, qx = -213, qy = -348, qz = -12275, gx = 118, gy = 229, gz = -294

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -84, Y = -54, Z = 135, qw = 10824, qx = -191, qy = -344, qz = -12293, gx = 125, gy = 214, gz = -308

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -80, Y = -73, Z = 134, qw = 10801, qx = -172, qy = -339, qz = -12314, gx = 85, gy = 192, gz = -355

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -68, Y = 67, Z = 60, qw = 3677, qx = -1617, qy = -302, qz = -15881, gx = -52, gy = 22, gz = -524

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -78, Y = 49, Z = 20, qw = 3639, qx = -1618, qy = -304, qz = -15890, gx = -24, gy = -19, gz = -438

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -69, Y = 30, Z = 0, qw = 3608, qx = -1620, qy = -307, qz = -15896, gx = -9, gy = -39, gz = -353

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -73, Y = -86, Z = 107, qw = 10771, qx = -160, qy = -331, qz = -12340, gx = 15, gy = 153, gz = -442

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 505 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -58, Y = -78, Z = 41, qw = 10734, qx = -155, qy = -322, qz = -12373, gx = -51, gy = 100, gz = -557

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -46, Y = -48, Z = 4, qw = 10689, qx = -155, qy = -313, qz = -12412, gx = -92, gy = 52, gz = -673

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 505 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -56, Y = 6, Z = -19, qw = 3582, qx = -1625, qy = -310, qz = -15902, gx = -12, gy = -56, gz = -296

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -44, Y = -19, Z = -27, qw = 3556, qx = -1632, qy = -310, qz = -15907, gx = -47, gy = -85, gz = -294

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -33, Y = -60, Z = -26, qw = 3526, qx = -1644, qy = -307, qz = -15913, gx = -91, gy = -127, gz = -340

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -30, Y = -18, Z = -20, qw = 10618, qx = -159, qy = -305, qz = -12473, gx = -99, gy = 19, gz = -757

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 35, Z = -43, qw = 10563, qx = -161, qy = -301, qz = -12519, gx = -74, gy = -3, gz = -802

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 18, Y = 53, Z = -39, qw = 10508, qx = -163, qy = -301, qz = -12566, gx = -23, gy = -25, gz = -810

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -41, Y = -67, Z = -21, qw = 3489, qx = -1658, qy = -303, qz = -15919, gx = -120, gy = -145, gz = -405

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -47, Y = -72, Z = -18, qw = 3447, qx = -1670, qy = -300, qz = -15927, gx = -111, gy = -134, gz = -474

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -53, Y = -79, Z = -22, qw = 3400, qx = -1679, qy = -301, qz = -15936, gx = -65, gy = -104, gz = -528

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 34, Y = 67, Z = -33, qw = 10454, qx = -162, qy = -306, qz = -12611, gx = 33, gy = -34, gz = -786

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 48, Y = 78, Z = -20, qw = 10404, qx = -159, qy = -315, qz = -12652, gx = 83, gy = -40, gz = -730

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 43, Y = 53, Z = 4, qw = 10358, qx = -154, qy = -324, qz = -12689, gx = 102, gy = -34, gz = -663

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -58, Y = -68, Z = -40, qw = 3349, qx = -1684, qy = -308, qz = -15946, gx = -7, gy = -71, gz = -583

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -66, Y = -63, Z = -52, qw = 3295, qx = -1686, qy = -318, qz = -15957, gx = 42, gy = -52, gz = -627

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -75, Y = -60, Z = -67, qw = 3238, qx = -1688, qy = -330, qz = -15969, gx = 56, gy = -45, gz = -661

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 30, Y = 13, Z = 8, qw = 10279, qx = -146, qy = -339, qz = -12753, gx = 69, gy = -18, gz = -542

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 20, Y = -21, Z = 6, qw = 10244, qx = -143, qy = -341, qz = -12781, gx = 20, gy = 6, gz = -504

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -81, Y = -69, Z = -79, qw = 3202, qx = -1688, qy = -343, qz = -15975, gx = 44, gy = -33, gz = -685

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -81, Y = -75, Z = -89, qw = 3142, qx = -1688, qy = -351, qz = -15987, gx = 22, gy = -22, gz = -690

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -80, Y = -75, Z = -90, qw = 3080, qx = -1686, qy = -358, qz = -15999, gx = -7, gy = -2, gz = -714

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = -91, Z = 7, qw = 10210, qx = -142, qy = -338, qz = -12808, gx = -24, gy = 25, gz = -483

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -81, Y = -73, Z = -78, qw = 3013, qx = -1683, qy = -360, qz = -16012, gx = -47, gy = 16, gz = -759

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -82, Y = -61, Z = -45, qw = 2944, qx = -1680, qy = -359, qz = -16026, gx = -87, gy = 27, gz = -786

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -86, Y = -61, Z = -23, qw = 2873, qx = -1677, qy = -356, qz = -16039, gx = -113, gy = 33, gz = -804

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -21, Y = -123, Z = 15, qw = 10170, qx = -140, qy = -335, qz = -12840, gx = -25, gy = 31, gz = -478

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -29, Y = -153, Z = 29, qw = 10135, qx = -137, qy = -336, qz = -12868, gx = 18, gy = 15, gz = -502

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -37, Y = -184, Z = 61, qw = 10096, qx = -133, qy = -343, qz = -12899, gx = 85, gy = -19, gz = -555

